LVL-7-KADEN`NULL`2021-09-15 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
LBR2024-03`NULL`2024-02-27 00:00:00.000`NULL`Active`NULL`NULL`1`0`0`1`4`0`0`NULL`NULL`NULL`NULL`NULL`NULL`NULL
134045`GATES`2024-03-18 00:00:00.000`C.07143.422.30.00`Active`NULL`8MX-35S-21`1`0`0`1`6`0`0`1846075`1`NULL`NULL`1 ITEM  `NULL`NULL
134044`EFP`2024-03-15 00:00:00.000`SSP32-8MGT-20 X 1210`Active`-`ST.ST. COMPLETE, LESS BUSHING`10`0`0`10`7`0`0`6065177`3`2024-04-16 00:00:00.000`2024-03-28 00:00:00.000`1 OF 3 ITEMS  Dave H`2024-03-18 00:00:00.000`NULL
134043`EFP`2024-03-15 00:00:00.000`SSP26-8MGT-20 X 1108`Active`-`ST.ST., FLANGED, LESS BUSHING`10`0`0`10`7`0`0`6065177`2`2024-04-16 00:00:00.000`2024-03-28 00:00:00.000`1 OF 3 ITEMS  Dave H`2024-03-18 00:00:00.000`NULL
134042`EFP`2024-03-15 00:00:00.000`60C17 X 1.625" - STEEL`Active`-`PER SKETCH`4`0`0`4`7`0`0`6065177`1`2024-04-16 00:00:00.000`2024-04-01 00:00:00.000`1 OF 3 ITEMS Dave H`2024-03-18 00:00:00.000`NULL
134041`BAYSEK`2024-03-15 00:00:00.000`4500-207`Active`-`DS50A25, STEEL`48`0`0`48`5`0`0`0025612`1`2024-04-22 00:00:00.000`2024-03-28 00:00:00.000`1 ITEM Dave H`2024-03-18 00:00:00.000`NULL
134040`BALL FORT`2024-03-15 00:00:00.000`51647582`Active`A`60T SPUR GEAR, NYLOIL`3`0`0`3`6`0`0`58113726`1`2024-04-04 00:00:00.000`2024-03-21 00:00:00.000`1 ITEM   Dave H`2024-03-18 00:00:00.000`NULL
134038`FRIESENS`2024-03-15 00:00:00.000`20L050 DOUBLE-ST.ST.`Active`NULL`STAINLESS STEEL, W/3 FLANGES`18`0`0`18`8`0`0`167413`1`2024-04-16 00:00:00.000`2024-03-26 00:00:00.000`1 ITEM  Dave H`2024-03-18 00:00:00.000`NULL
134022`ANDRITZ`2024-03-14 00:00:00.000`335-00021`Active`5`7-1/8" GEAR HOUSING`7`0`0`7`2`0`0`27938`1`2024-03-22 00:00:00.000`2024-03-15 00:00:00.000`1 ITEM   BRENT`2024-03-14 00:00:00.000`NULL
134008`VALMET-GB`2024-03-13 00:00:00.000`K051F5566`Complete`NULL`40T, AT5 PULLEY`1`0`1`0`0`2`1`4201159146`2`2024-03-15 00:00:00.000`2024-03-15 00:00:00.000`1 OF 2 ITEMS  Greg V`2024-03-15 00:00:00.000`NULL
134007`VALMET-GB`2024-03-13 00:00:00.000`154083`Complete`NULL`P36-8M-30 PULLEY`2`0`2`0`0`4`2`4201159146`1`2024-03-15 00:00:00.000`2024-03-15 00:00:00.000`1 OF 2 ITEMS  Greg V`2024-03-15 00:00:00.000`NULL
133997`PCMC`2024-03-13 00:00:00.000`10097B2206`Complete`-`32T NYLASTEEL GEAR`2`0`2`0`0`4`2`P733200`1`2024-03-18 00:00:00.000`2024-03-13 00:00:00.000`1 ITEM  Caleb H`2024-03-13 00:00:00.000`NULL
133995`MO-APPLETN`2024-03-13 00:00:00.000`40T, 8DP SPUR GEAR`Active`-`NSS8P40 x P1 - STEEL`2`0`0`2`10`0`0`WI02-00566778`1`2024-04-09 00:00:00.000`2024-03-14 00:00:00.000`1 ITEM   BRENT`2024-03-13 00:00:00.000`NULL
133983`VALMET-GB`2024-03-12 00:00:00.000`364836`Active`NULL`P48-8M-30 PULLEY`1`2`0`3`6`0`0`4201159115`1`2024-04-04 00:00:00.000`2024-03-13 00:00:00.000`1 ITEM Greg V`2024-03-13 00:00:00.000`NULL
133982`AXON CORP.`2024-03-12 00:00:00.000`5000144`Active`01`104T NYLON HELICAL GEAR`5`0`0`5`6`0`0`AXN112688`1`2024-04-02 00:00:00.000`2024-03-18 00:00:00.000`1 ITEM  BRENT`2024-03-13 00:00:00.000`NULL
133979`QUAL-CONN`2024-03-12 00:00:00.000`930685`Active`2`13T/9T DRIVE SHAFT`2`1`0`3`9`0`0`23651`1`2024-04-30 00:00:00.000`2024-03-14 00:00:00.000`1 ITEM  BRENT`2024-03-13 00:00:00.000`NULL
133969`STEVENS TE`2024-03-12 00:00:00.000`36716079`Active`D`78T, 12DP R.H. HELICAL GEAR`1`0`0`1`8`0`0`RS2079`2`2024-04-04 00:00:00.000`2024-03-18 00:00:00.000`1 OF 2 ITEMS - JAMIE`2024-03-12 00:00:00.000`NULL
133956`LINDQUIST`2024-03-11 00:00:00.000`3H410-349`Active`A`90T, 12 DP SPUR GEAR`1`0`0`1`7`0`0`103525`1`2024-03-25 00:00:00.000`2024-03-13 00:00:00.000`1 ITEM Dave H`2024-03-12 00:00:00.000`4666
133955`GSI INC`2024-03-11 00:00:00.000`20T, DRIVE SPLINE HUB`Complete`NULL`CUT TEETH ONLY`1`0`0`1`0`1`1`24007-030524`2`2024-03-18 00:00:00.000`2024-03-14 00:00:00.000`1 OF 2 ITEMS - RETURN SAMPLE`2024-03-13 00:00:00.000`NULL
133954`GSI INC`2024-03-11 00:00:00.000`20T, INTERNAL SPLINE HUB`Complete`NULL`CUT TEETH ONLY`1`0`0`1`0`1`1`24007-030524`1`2024-03-18 00:00:00.000`2024-03-14 00:00:00.000`1 OF 2 ITEMS  - RETURN SAMPLE AND RED TUB  BRENT`2024-03-13 00:00:00.000`NULL
133952`EMS`2024-03-11 00:00:00.000`IDLER PULLEY - 6.5" X 4.25" LG`Active`1`ALUMINUM, API GENERAC`15`0`0`15`2`0`0`R00310102`1`2024-04-19 00:00:00.000`2024-03-19 00:00:00.000`1 OF 2 ITEMS - JAMIE`2024-03-12 00:00:00.000`NULL
