781361`AMH`2024-04-17 00:00:00.000`0.0`0.02`0`0`
781357`AMH`2024-04-17 00:00:00.000`0.0`0.29999999999999999`1`0`
781007`MGK`2024-04-16 00:00:00.000`0.0`8.0000000000000002E-2`4`0`
780911`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`1`0`
780902`JRL`2024-04-16 00:00:00.000`0.0`0.40000000000000002`2`0`
780889`JRL`2024-04-16 00:00:00.000`0.0`0.20999999999999999`5`0`
780840`JRL`2024-04-16 00:00:00.000`0.0`0.40000000000000002`2`0`
780839`AMH`2024-04-16 00:00:00.000`0.0`0.20000000000000001`3`0`
780838`AMH`2024-04-16 00:00:00.000`0.0`0.20000000000000001`3`0`
780831`NV`2024-04-16 00:00:00.000`0.0`0.5`1`0`
780830`NJW`2024-04-15 00:00:00.000`0.0`1.0`1`0`
780829`NV`2024-04-15 00:00:00.000`0.0`3.0`1`0`
780828`JRL`2024-04-15 00:00:00.000`0.0`0.34999999999999998`1`0`
780824`NV`2024-04-16 00:00:00.000`0.0`0.5`1`0`
780823`NJW`2024-04-15 00:00:00.000`0.0`1.8`1`0`
780822`NV`2024-04-15 00:00:00.000`0.0`3.25`1`0`
780821`JRL`2024-04-15 00:00:00.000`0.0`0.38`1`0`
780803`JRL`2024-04-16 00:00:00.000`0.0`0.17000000000000001`2`0`
780802`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`1`0`
780801`DJH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`1`0`
780800`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`1`0`
780789`JRL`2024-04-16 00:00:00.000`0.0`0.40000000000000002`2`0`
780780`JRL`2024-04-15 00:00:00.000`0.0`0.80000000000000004`4`0`
780770`JRL`2024-04-15 00:00:00.000`0.0`7.0000000000000007E-2`1`0`
780760`JRL`2024-04-15 00:00:00.000`0.0`7.0000000000000007E-2`1`0`
780709`JRL`2024-04-16 00:00:00.000`0.0`0.5`2`0`
780700`JRL`2024-04-15 00:00:00.000`0.0`0.27000000000000002`4`0`
780684`JRL`2024-04-16 00:00:00.000`0.0`0.5`6`0`
780683`NR`2024-04-16 00:00:00.000`0.0`8.0000000000000002E-2`6`0`
780682`DJH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`3`0`
780681`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`3`0`
780680`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`3`0`
780670`JRL`2024-04-15 00:00:00.000`0.0`0.27000000000000002`4`0`
780661`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`7`0`
780660`DJH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`7`0`
780659`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`7`0`
780650`JRL`2024-04-15 00:00:00.000`0.0`0.23000000000000001`2`0`
780645`GV`2024-04-12 00:00:00.000`0.0`8.0000000000000002E-2`2`0`
780636`JRL`2024-04-15 00:00:00.000`0.0`0.27000000000000002`2`0`
780625`JRL`2024-04-15 00:00:00.000`0.0`2.5`10`0`
780614`JRL`2024-04-15 00:00:00.000`0.0`2.3300000000000001`14`0`
780567`JRL`2024-04-15 00:00:00.000`0.0`0.10000000000000001`1`0`
780558`ZN`2024-04-15 00:00:00.000`0.0`0.40000000000000002`0`0`
780557`JRL`2024-04-15 00:00:00.000`0.0`0.27000000000000002`2`0`
780537`NR`2024-04-17 00:00:00.000`0.0`8.0000000000000002E-2`2`0`
780527`JRL`2024-04-16 00:00:00.000`0.0`3.5`0`0`
780527`JRL`2024-04-16 00:00:00.000`0.0`2.5`40`0`
780488`JRL`2024-04-16 00:00:00.000`0.0`3.0`20`0`
780483`NV`2024-04-11 00:00:00.000`0.0`1.25`1`0`
780468`EH`2024-04-16 00:00:00.000`0.0`0.25`0`0`
780427`JRL`2024-04-15 00:00:00.000`0.0`0.59999999999999998`16`0`
780403`JRL`2024-04-11 00:00:00.000`0.0`0.17000000000000001`1`0`
780380`JRL`2024-04-15 00:00:00.000`0.0`0.65000000000000002`14`0`
780355`AMH`2024-04-16 00:00:00.000`0.0`0.29999999999999999`3`0`
780353`JZ`2024-04-10 00:00:00.000`0.0`5.0000000000000003E-2`3`0`
780352`AB`2024-04-10 00:00:00.000`0.0`2.3799999999999999`3`0`
780351`JRL`2024-04-10 00:00:00.000`0.0`0.42999999999999999`3`0`
780345`JRL`2024-04-15 00:00:00.000`0.0`0.17000000000000001`2`0`
780314`NR`2024-04-10 00:00:00.000`0.0`0.80000000000000004`0`0`
780314`NR`2024-04-11 00:00:00.000`0.0`1.8`1`0`
780273`JRL`2024-04-15 00:00:00.000`0.0`0.5`10`0`
780242`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`1`0`
780241`NR`2024-04-17 00:00:00.000`0.0`8.0000000000000002E-2`1`0`
780239`MGK`2024-04-15 00:00:00.000`0.0`0.67000000000000004`1`0`
780222`CKR`2024-04-16 00:00:00.000`0.0`8.0`0`0`
780221`JRL`2024-04-11 00:00:00.000`0.0`1.0`10`0`
780192`JRL`2024-04-15 00:00:00.000`0.0`0.33000000000000002`2`0`
780175`AB`2024-04-16 00:00:00.000`0.0`3.6499999999999999`4`0`
780174`JRL`2024-04-10 00:00:00.000`0.0`0.5`4`0`
780150`EU`2024-04-16 00:00:00.000`0.0`4.25`1`0`
780149`CHK`2024-04-16 00:00:00.000`0.0`2.8300000000000001`1`0`
780148`AMH`2024-04-11 00:00:00.000`0.0`0.29999999999999999`1`0`
780116`CKR`2024-04-15 00:00:00.000`0.0`2.0`8`0`
780115`JRL`2024-04-10 00:00:00.000`0.0`0.37`8`0`
780101`JZ`2024-04-10 00:00:00.000`0.0`5.0000000000000003E-2`4`0`
780100`ITA`2024-04-10 00:00:00.000`0.0`2.9500000000000002`4`0`
780099`JRL`2024-04-09 00:00:00.000`0.0`0.40000000000000002`4`0`
780091`JRL`2024-04-16 00:00:00.000`0.0`7.0000000000000007E-2`1`0`
780064`NJW`2024-04-16 00:00:00.000`0.0`2.2000000000000002`1`0`
780062`ITA`2024-04-15 00:00:00.000`0.0`0.93000000000000005`1`0`
780061`JRL`2024-04-11 00:00:00.000`0.0`7.0000000000000007E-2`1`0`
780054`JPK`2024-04-16 00:00:00.000`0.0`0.5`2`0`
780054`JPK`2024-04-15 00:00:00.000`0.0`0.5`0`0`
