134499`781041`A-SAW``2024-05-17 14:10:00.000`2024-05-20 07:01:00.000`0`C`0.84999999999999998
134499`781042`A-LTH CNCX``2024-05-22 09:03:00.000`2024-05-22 13:13:00.000`1`C`4.1699999999999999
134499`781043`HT OVEN`DUCTILE`2024-05-28 07:13:00.000`2024-05-28 08:43:00.000`2`C`1.5
134499`781044`A-LTH VER``2024-06-03 09:00:00.000`2024-06-03 12:19:00.000`3`C`3.3300000000000001
134499`781045`L 900``2024-06-04 14:19:00.000`2024-06-05 09:40:00.000`4`C`3.3300000000000001
134499`781046`A-MILL``2024-06-06 11:40:00.000`2024-06-07 07:25:00.000`5`C`3.75
134499`781047`A-HOB CNC``2024-06-10 09:25:00.000`2024-06-10 14:40:00.000`6`C`5.2699999999999996
134499`781048`DEBURR`DEBURR`2024-06-12 08:40:00.000`2024-06-12 08:55:00.000`7`C`0.27000000000000002
134499`781049`STAMP`MARQUIP ST`2024-06-13 10:55:00.000`2024-06-13 11:09:00.000`8`C`0.20000000000000001
134499`781050`RED LINE``2024-06-14 11:09:00.000`2024-06-14 11:37:00.000`9`S`0.47999999999999998
134499`781051`EMC`METAL FIN.`2024-06-14 11:38:00.000`2024-07-02 11:38:00.000`10`O`0.0
134499`781052`IN`IN-VEN`2024-07-03 13:38:00.000`2024-07-03 13:38:00.000`11`O`0.0
134499`781053`A-LTH CNCX`INSPECT`2024-07-09 07:38:00.000`2024-07-09 07:55:00.000`12`O`0.28000000000000003
134499`781054`RED LINE`RED LINE`2024-07-10 07:55:00.000`2024-07-10 08:17:00.000`13`O`0.37
